"","BalanceID","SampleValue","Index","LineWidth","n.group","Group"
"1","1078764__39485_328813",0,"1",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"2","1078764__39485_328813",0,"2",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"3","1078764__39485_328813",0,"3",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"4","1078764__39485_328813",0,"4",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"5","1078764__39485_328813",0,"5",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"6","1078764__39485_328813",0,"6",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"7","1078764__39485_328813",0,"7",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"8","1078764__39485_328813",0,"8",0.0102142893633337,"D000067877","1078764__39485_328813 D000067877"
"9","1078764__39485_328813",0,"9",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"10","1078764__39485_328813",0,"10",0.0102142893633337,"D000067877","1078764__39485_328813 D000067877"
"11","1078764__39485_328813",0,"11",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"12","1078764__39485_328813",0,"12",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"13","1078764__39485_328813",0,"13",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"14","1078764__39485_328813",0,"14",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"15","1078764__39485_328813",0,"15",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"16","1078764__39485_328813",0,"16",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"17","1078764__39485_328813",0,"17",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"18","1078764__39485_328813",0,"18",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"19","1078764__39485_328813",0,"19",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"20","1078764__39485_328813",0,"20",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"21","1078764__39485_328813",0,"21",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"22","1078764__39485_328813",6.7796079022678,"22",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"23","1078764__39485_328813",0,"23",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"24","1078764__39485_328813",0,"24",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"25","1078764__39485_328813",0,"25",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"26","1078764__39485_328813",0,"26",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"27","1078764__39485_328813",-2.47527297313693,"27",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"28","1078764__39485_328813",0,"28",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"29","1078764__39485_328813",0,"29",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"30","1078764__39485_328813",0,"30",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"31","1078764__39485_328813",0,"31",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"32","1078764__39485_328813",0,"32",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"33","1078764__39485_328813",0,"33",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"34","1078764__39485_328813",-2.4358131809948,"34",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"35","1078764__39485_328813",0,"35",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"36","1078764__39485_328813",0,"36",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"37","1078764__39485_328813",0,"37",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"38","1078764__39485_328813",0,"38",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"39","1078764__39485_328813",0,"39",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"40","1078764__39485_328813",-2.29172213820327,"40",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"41","1078764__39485_328813",0,"41",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"42","1078764__39485_328813",-2.30994927553404,"42",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
"43","1078764__39485_328813",0,"43",0.0102142893633337,"D006262","1078764__39485_328813 D006262"
